,Eigenvalues,Relative_eig,Rel_corr_eig,Broken_stick,Cum_corr_eig,Cumul_br_stick
1,0.660736556933314,0.346495303388747,0.318181038498993,0.25860088985089,0.318181038498993,0.25860088985089
2,0.441795157949394,0.231680759423766,0.215425932012579,0.175267556517557,0.533606970511571,0.433868446368446
3,0.250064596338254,0.131135786669895,0.125441605765994,0.13360088985089,0.659048576277566,0.567469336219336
4,0.185742288190881,0.0974046763774187,0.0952534108708814,0.105823112073112,0.754301987148447,0.673292448292448
5,0.115061385991848,0.0603390707373844,0.0620809562061933,0.0849897787397787,0.81638294335464,0.758282227032227
6,0.0759513373800302,0.0398294621542042,0.0437255550420155,0.0683231120731121,0.860108498396656,0.826605339105339
7,0.0706032045830812,0.0370248604160425,0.0412155320056945,0.0544342231842232,0.90132403040235,0.881039562289562
8,0.0524066608332129,0.0274824537169176,0.032675403005972,0.0425294612794613,0.933999433408322,0.923569023569024
9,0.0403306744221097,0.021149714092741,0.0270078167232492,0.0321127946127946,0.961007250131572,0.955681818181818
10,0.0228121512983743,0.0119628665950717,0.0187859010991678,0.0228535353535354,0.979793151230739,0.978535353535353
11,0.00702316441936664,0.00368300113063534,0.0113757035047686,0.014520202020202,0.991168854735508,0.993055555555556
12,0.00160144709580081,0.000839811103983661,0.0088311452644919,0.00694444444444444,1,1
13,0,0,0,0,1,1
14,-0.0172151681066146,-0.00902776580680663,0,0,1,1
