ASV,Kingdom,Phylum,Class,Order,Family,Genus,S23,S24,S25,S26,S27,S28,S29,S37,S38,S39,S40,S41,S42,S43
ASV_ 661,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,0,0,4,0,0,0,0,0,0,0,0,0,0,0
ASV_ 662,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,0,0,0,4,0,0,0,0,0,0,0,0,0,0
ASV_ 663,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,0,0,0,4,0,0,0,0,0,0,0,0,0,0
ASV_ 664,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA,0,0,0,4,0,0,0,0,0,0,0,0,0,0
ASV_ 665,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,NA,0,0,0,4,0,0,0,0,0,0,0,0,0,0
ASV_ 666,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,0,0,0,4,0,0,0,0,0,0,0,0,0,0
ASV_ 667,Bacteria,Firmicutes,Bacilli,Bacillales,NA,NA,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ASV_ 668,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Iamiaceae,Iamia,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ASV_ 669,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ASV_ 67,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,NA,15,1112,0,37,38,0,96,157,589,0,71,0,0,25
ASV_ 670,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,NA,0,0,0,0,0,4,0,0,0,0,0,0,0,0
ASV_ 671,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,NA,0,0,0,0,0,4,0,0,0,0,0,0,0,0
ASV_ 672,Bacteria,Firmicutes,Bacilli,NA,NA,NA,0,0,0,0,0,4,0,0,0,0,0,0,0,0
ASV_ 673,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,NA,NA,0,0,0,0,0,0,4,0,0,0,0,0,0,0
ASV_ 674,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,NA,0,0,0,0,0,0,4,0,0,0,0,0,0,0
ASV_ 675,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NA,NA,0,0,0,0,0,0,0,4,0,0,0,0,0,0
ASV_ 676,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,0,0,0,0,0,0,0,4,0,0,0,0,0,0
ASV_ 677,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,0,0,0,0,0,0,0,0,4,0,0,0,0,0
ASV_ 678,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,NA,0,0,0,0,0,0,0,0,4,0,0,0,0,0
ASV_ 679,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,0,0,0,0,0,0,0,0,4,0,0,0,0,0
ASV_ 68,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chitinibacteraceae,Chitinilyticum,27,102,0,115,181,0,149,132,180,0,584,135,336,182
ASV_ 680,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,ZOR0006,0,0,0,0,0,0,0,0,4,0,0,0,0,0
ASV_ 681,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Silanimonas,0,0,0,0,0,0,0,0,0,0,4,0,0,0
ASV_ 682,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,0,0,0,0,0,0,0,0,0,0,0,4,0,0
ASV_ 683,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Cloacibacterium,0,0,0,0,0,0,0,0,0,0,0,4,0,0
ASV_ 684,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,0,0,0,0,0,0,0,0,0,0,0,4,0,0
ASV_ 685,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,JI49D030,NA,0,0,0,0,0,0,0,0,0,0,0,0,4,0
ASV_ 686,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,0,0,0,0,0,0,0,0,0,0,0,0,4,0
ASV_ 687,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,4,0
ASV_ 688,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Shewanellaceae,Shewanella,0,0,0,0,0,0,0,0,0,0,0,0,4,0
ASV_ 689,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,0,0,0,0,0,0,0,0,0,0,0,0,4,0
ASV_ 69,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Dielma,744,0,849,65,65,0,242,0,0,22,0,0,0,0
ASV_ 690,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ASV_ 691,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ASV_ 692,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ASV_ 693,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_ 694,Bacteria,Actinobacteriota,Actinobacteria,NA,NA,NA,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ASV_ 695,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tabrizicola,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ASV_ 696,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ASV_ 697,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ASV_ 698,Bacteria,Actinobacteriota,Actinobacteria,NA,NA,NA,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ASV_ 699,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ASV_ 7,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,NA,20816,0,0,221,10792,10573,12570,0,237,10956,1091,38054,11330,9879
ASV_ 70,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,0,0,1119,0,0,0,0,0,0,843,0,0,0,0
ASV_ 700,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ASV_ 701,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,NA,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ASV_ 702,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,NA,NA,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ASV_ 703,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ASV_ 704,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,IMCC26207,0,0,3,0,0,0,0,0,0,0,0,0,0,0
ASV_ 705,Bacteria,NA,NA,NA,NA,NA,0,0,3,0,0,0,0,0,0,0,0,0,0,0
ASV_ 706,Bacteria,Planctomycetota,Phycisphaerae,S-70,NA,NA,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ASV_ 707,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Aquabacterium,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ASV_ 708,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,NA,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ASV_ 709,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ASV_ 71,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,IMCC26207,10,1517,150,82,0,0,77,0,91,0,21,0,0,0
ASV_ 710,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ASV_ 711,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ASV_ 712,Bacteria,Actinobacteriota,Thermoleophilia,NA,NA,NA,0,0,0,0,3,0,0,0,0,0,0,0,0,0
ASV_ 713,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,NA,NA,0,0,0,0,3,0,0,0,0,0,0,0,0,0
ASV_ 714,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,NA,0,0,0,0,0,3,0,0,0,0,0,0,0,0
ASV_ 715,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,NA,0,0,0,0,0,3,0,0,0,0,0,0,0,0
ASV_ 716,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Corticicoccus,0,0,0,0,0,0,3,0,0,0,0,0,0,0
ASV_ 717,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,0,0,0,0,0,0,3,0,0,0,0,0,0,0
ASV_ 718,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Cloacibacterium,0,0,0,0,0,0,3,0,0,0,0,0,0,0
ASV_ 719,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,JI49D030,NA,0,0,0,0,0,0,3,0,0,0,0,0,0,0
ASV_ 72,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Gordonia,24,506,64,672,468,0,72,0,23,0,100,0,0,0
ASV_ 720,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,NA,0,0,0,0,0,0,3,0,0,0,0,0,0,0
ASV_ 721,Bacteria,Desulfobacterota,NA,NA,NA,NA,0,0,0,0,0,0,3,0,0,0,0,0,0,0
ASV_ 722,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,JI49D030,NA,0,0,0,0,0,0,0,3,0,0,0,0,0,0
ASV_ 723,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,0,0,0,0,0,0,0,3,0,0,0,0,0,0
ASV_ 724,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,0,0,0,0,0,0,0,3,0,0,0,0,0,0
ASV_ 725,Bacteria,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,3,0,0,0,0,0
ASV_ 726,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,NA,NA,0,0,0,0,0,0,0,0,3,0,0,0,0,0
ASV_ 727,Bacteria,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,3,0,0,0,0
ASV_ 728,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,0,0,0,0,0,0,0,0,0,0,3,0,0,0
ASV_ 729,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,JI49D030,NA,0,0,0,0,0,0,0,0,0,0,3,0,0,0
ASV_ 73,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA,15,250,0,262,142,0,119,42,474,247,201,0,0,42
ASV_ 730,Bacteria,Proteobacteria,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,3,0,0,0
ASV_ 731,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,NA,0,0,0,0,0,0,0,0,0,0,3,0,0,0
ASV_ 732,Bacteria,Chloroflexi,KD4-96,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,3,0,0,0
ASV_ 733,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,0,0,0,0,0,0,0,0,0,0,3,0,0,0
ASV_ 734,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Kinneretia,0,0,0,0,0,0,0,0,0,0,3,0,0,0
ASV_ 735,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,3,0,0
ASV_ 736,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,0,0,0,0,0,0,0,0,0,0,0,3,0,0
ASV_ 737,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,0,0,0,0,0,0,0,0,0,0,0,0,3,0
ASV_ 738,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,0,0,0,0,0,0,0,0,0,0,0,0,3,0
ASV_ 739,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ASV_ 74,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,0,0,0,0,0,0,0,93,784,0,409,0,127,380
ASV_ 740,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ASV_ 741,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,ZOR0006,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ASV_ 742,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,NA,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ASV_ 743,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,ZOR0006,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ASV_ 744,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ASV_ 745,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ASV_ 746,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,NA,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ASV_ 747,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,NA,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ASV_ 748,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ASV_ 749,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ASV_ 75,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,0,1721,0,0,0,0,0,0,0,0,0,0,0,0
ASV_ 750,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ASV_ 751,Bacteria,Firmicutes,Bacilli,NA,NA,NA,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ASV_ 752,Bacteria,Firmicutes,Bacilli,Bacillales,NA,NA,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ASV_ 753,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,NA,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ASV_ 754,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,NA,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ASV_ 755,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,NA,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ASV_ 756,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,NA,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ASV_ 757,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,NA,NA,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ASV_ 758,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,ZOR0006,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ASV_ 759,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ASV_ 76,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,0,0,1716,0,0,0,0,0,0,0,0,0,0,0
ASV_ 760,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,NA,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ASV_ 761,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,NA,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ASV_ 762,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,NA,NA,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ASV_ 763,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ASV_ 764,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,NA,NA,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ASV_ 765,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,NA,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ASV_ 766,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,NA,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ASV_ 767,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ASV_ 768,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Kinneretia,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ASV_ 769,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ASV_ 77,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,0,0,0,939,510,0,0,42,91,0,25,0,31,70
ASV_ 770,Bacteria,Firmicutes,Bacilli,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ASV_ 771,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ASV_ 772,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ASV_ 773,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,NA,NA,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ASV_ 774,Bacteria,Firmicutes,Bacilli,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ASV_ 775,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,JI49D030,NA,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ASV_ 776,Bacteria,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ASV_ 777,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ASV_ 778,Bacteria,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ASV_ 779,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Millisia,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ASV_ 78,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,NA,NA,9,510,526,63,83,0,67,21,46,0,106,110,109,14
ASV_ 780,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ASV_ 781,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ASV_ 782,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Kinneretia,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ASV_ 783,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_ 784,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_ 785,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ASV_ 786,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ASV_ 787,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ASV_ 788,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Millisia,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ASV_ 789,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Millisia,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ASV_ 79,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,7,323,201,19,33,169,22,30,60,563,23,111,33,6
ASV_ 790,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ASV_ 791,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ASV_ 792,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ASV_ 793,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ASV_ 794,Bacteria,Proteobacteria,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ASV_ 795,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ASV_ 796,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ciceribacter,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ASV_ 797,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ASV_ 798,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Kinneretia,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ASV_ 799,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Kinneretia,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ASV_ 8,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Paucibacter,39,0,77,2084,1194,0,546,20405,20107,2752,30946,764,10590,27611
ASV_ 80,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,0,0,0,71,29,0,0,0,736,0,91,0,246,381
ASV_ 800,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ASV_ 801,Bacteria,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ASV_ 802,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ASV_ 81,Bacteria,Planctomycetota,Phycisphaerae,mle1-8,NA,NA,0,854,50,387,78,0,51,7,2,44,25,0,0,7
ASV_ 82,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,0,0,918,0,0,0,0,0,0,534,0,0,0,0
ASV_ 83,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Aquabacterium,0,0,0,20,27,0,0,852,409,0,0,0,0,103
ASV_ 84,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,NA,502,0,2,11,51,204,109,0,22,81,23,85,105,193
ASV_ 85,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,0,204,42,0,0,0,0,20,0,947,11,23,129,9
ASV_ 86,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,0,168,0,0,605,0,45,0,0,424,0,0,0,114
ASV_ 87,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,0,200,0,158,0,0,152,25,324,30,190,55,158,59
ASV_ 88,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,12,637,78,31,143,122,73,0,0,51,110,0,61,31
ASV_ 89,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,0,1210,0,0,0,0,0,0,0,0,55,0,0,63
ASV_ 9,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Cloacibacterium,346,16913,5592,9632,3526,0,1904,4033,43188,4953,19136,1514,1833,2757
ASV_ 90,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,14,0,141,0,43,0,32,25,197,169,262,131,95,196
ASV_ 91,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,0,0,56,748,294,0,195,0,0,0,0,0,0,0
ASV_ 92,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Shinella,0,166,25,63,34,4,38,242,232,37,204,38,49,139
ASV_ 93,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliaceae,NA,0,668,0,335,38,0,88,0,0,0,117,0,0,16
ASV_ 94,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Gemmobacter,0,162,207,142,67,10,104,70,113,0,167,35,75,108
ASV_ 95,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,0,213,68,531,166,0,28,16,14,0,30,22,134,31
ASV_ 96,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,0,601,364,130,0,0,83,0,0,0,51,0,0,0
ASV_ 97,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,0,1205,0,19,0,0,0,0,0,0,0,0,0,0
