ASV,Kingdom,Phylum,Class,Order,Family,Genus,S23,S24,S25,S26,S27,S28,S29,S37,S38,S39,S40,S41,S42,S43
ASV_ 546,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,0,0,0,0,0,12,0,0,0,0,0,0,0,0
ASV_ 547,Bacteria,Cyanobacteria,Vampirivibrionia,Obscuribacterales,Obscuribacteraceae,NA,0,0,0,0,0,0,12,0,0,0,0,0,0,0
ASV_ 548,Bacteria,Desulfobacterota,NA,NA,NA,NA,0,0,0,0,0,0,12,0,0,0,0,0,0,0
ASV_ 549,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,0,0,0,0,0,0,0,0,12,0,0,0,0,0
ASV_ 55,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,71,0,0,0,0,2336,218,26,0,0,0,866,39,20
ASV_ 550,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,0,0,0,0,0,0,0,0,0,0,0,12,0,0
ASV_ 551,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,0,0,0,0,0,0,0,0,0,0,0,0,0,12
ASV_ 552,Bacteria,Dependentiae,Babeliae,Babeliales,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,12
ASV_ 553,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,12
ASV_ 554,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,0,0,0,11,0,0,0,0,0,0,0,0,0,0
ASV_ 555,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,0,0,0,11,0,0,0,0,0,0,0,0,0,0
ASV_ 556,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,NA,0,0,0,0,11,0,0,0,0,0,0,0,0,0
ASV_ 557,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,0,0,0,0,11,0,0,0,0,0,0,0,0,0
ASV_ 558,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aminobacter,0,0,0,0,0,11,0,0,0,0,0,0,0,0
ASV_ 559,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4 lineage,0,0,0,0,0,0,11,0,0,0,0,0,0,0
ASV_ 56,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Gemmobacter,0,1089,382,130,56,0,131,70,518,57,438,61,227,253
ASV_ 560,Bacteria,Planctomycetota,Phycisphaerae,S-70,NA,NA,0,0,0,0,0,0,11,0,0,0,0,0,0,0
