sample,readsNums,Name,Experiment,Alpha,value
S26,6176,S26,S26,Observe,149
S26,9264,S26,S26,Observe,169
S26,12352,S26,S26,Observe,176
S26,15440,S26,S26,Observe,181
S26,18528,S26,S26,Observe,186
S26,21616,S26,S26,Observe,188
S26,24704,S26,S26,Observe,191
S26,27792,S26,S26,Observe,195
S26,30880,S26,S26,Observe,199
S26,33968,S26,S26,Observe,203
S26,37056,S26,S26,Observe,204
S26,40144,S26,S26,Observe,205
S26,43232,S26,S26,Observe,208
S26,46320,S26,S26,Observe,209
S26,49408,S26,S26,Observe,210
S26,52496,S26,S26,Observe,211
S26,55584,S26,S26,Observe,214
S26,58672,S26,S26,Observe,214
S26,61760,S26,S26,Observe,214
S26,64848,S26,S26,Observe,214
S26,67936,S26,S26,Observe,214
S26,71024,S26,S26,Observe,214
S26,74112,S26,S26,Observe,215
S26,77200,S26,S26,Observe,216
S26,80288,S26,S26,Observe,217
S26,83376,S26,S26,Observe,218
S26,86464,S26,S26,Observe,218
S26,89552,S26,S26,Observe,218
S26,92640,S26,S26,Observe,218
S26,95728,S26,S26,Observe,219
S26,98816,S26,S26,Observe,219
S26,101904,S26,S26,Observe,219
S26,104992,S26,S26,Observe,220
S26,108080,S26,S26,Observe,220
S26,111168,S26,S26,Observe,221
S26,114256,S26,S26,Observe,221
S26,117344,S26,S26,Observe,221
S26,120432,S26,S26,Observe,222
S26,123520,S26,S26,Observe,222
S26,126608,S26,S26,Observe,222
S26,129696,S26,S26,Observe,222
S26,132784,S26,S26,Observe,222
S26,135872,S26,S26,Observe,222
S26,138960,S26,S26,Observe,223
S26,142048,S26,S26,Observe,223
S26,145136,S26,S26,Observe,223
S26,148224,S26,S26,Observe,223
S26,151312,S26,S26,Observe,223
S26,154400,S26,S26,Observe,223
S26,154400,S26,S26,Observe,223
S27,3088,S27,S27,Observe,122
S27,6176,S27,S27,Observe,148
S27,9264,S27,S27,Observe,174
S27,12352,S27,S27,Observe,180
S27,15440,S27,S27,Observe,188
S27,18528,S27,S27,Observe,193
S27,21616,S27,S27,Observe,195
S27,24704,S27,S27,Observe,199
S27,27792,S27,S27,Observe,202
S27,30880,S27,S27,Observe,204
S27,33968,S27,S27,Observe,206
S27,37056,S27,S27,Observe,207
S27,40144,S27,S27,Observe,209
S27,43232,S27,S27,Observe,210
S27,46320,S27,S27,Observe,212
S27,49408,S27,S27,Observe,213
S27,52496,S27,S27,Observe,214
S27,55584,S27,S27,Observe,217
S27,58672,S27,S27,Observe,217
S27,61760,S27,S27,Observe,218
S27,64848,S27,S27,Observe,218
S27,67936,S27,S27,Observe,218
S27,71024,S27,S27,Observe,219
S27,74112,S27,S27,Observe,219
S27,77200,S27,S27,Observe,220
S27,80288,S27,S27,Observe,221
S27,83376,S27,S27,Observe,222
S27,86464,S27,S27,Observe,222
S27,89552,S27,S27,Observe,222
S27,92640,S27,S27,Observe,222
S27,95728,S27,S27,Observe,222
S27,98816,S27,S27,Observe,222
S27,101904,S27,S27,Observe,222
S27,104992,S27,S27,Observe,222
S27,108080,S27,S27,Observe,223
S27,111168,S27,S27,Observe,223
S27,114256,S27,S27,Observe,223
S27,117344,S27,S27,Observe,223
S27,120432,S27,S27,Observe,224
S27,123520,S27,S27,Observe,225
S27,126608,S27,S27,Observe,225
S27,129696,S27,S27,Observe,225
S27,132784,S27,S27,Observe,225
S27,135872,S27,S27,Observe,225
S27,138960,S27,S27,Observe,226
S27,142048,S27,S27,Observe,226
S27,145136,S27,S27,Observe,226
S27,148224,S27,S27,Observe,226
S27,151312,S27,S27,Observe,227
S27,154400,S27,S27,Observe,227
S27,154400,S27,S27,Observe,227
S28,3088,S28,S28,Observe,80
S28,6176,S28,S28,Observe,89
S28,9264,S28,S28,Observe,93
S28,12352,S28,S28,Observe,93
S28,15440,S28,S28,Observe,94
S28,18528,S28,S28,Observe,95
S28,21616,S28,S28,Observe,95
S28,24704,S28,S28,Observe,97
S28,27792,S28,S28,Observe,98
S28,30880,S28,S28,Observe,98
S28,33968,S28,S28,Observe,99
S28,37056,S28,S28,Observe,100
S28,40144,S28,S28,Observe,100
S28,43232,S28,S28,Observe,101
S28,46320,S28,S28,Observe,102
S28,49408,S28,S28,Observe,102
S28,52496,S28,S28,Observe,103
S28,55584,S28,S28,Observe,105
S28,58672,S28,S28,Observe,105
S28,61760,S28,S28,Observe,105
S28,64848,S28,S28,Observe,105
S28,67936,S28,S28,Observe,105
S28,71024,S28,S28,Observe,106
S28,74112,S28,S28,Observe,106
S28,77200,S28,S28,Observe,106
S28,80288,S28,S28,Observe,107
S28,83376,S28,S28,Observe,107
S28,86464,S28,S28,Observe,107
S28,89552,S28,S28,Observe,107
S28,92640,S28,S28,Observe,107
S28,95728,S28,S28,Observe,107
S28,98816,S28,S28,Observe,107
S28,101904,S28,S28,Observe,107
S28,104992,S28,S28,Observe,107
S28,108080,S28,S28,Observe,108
S28,111168,S28,S28,Observe,108
S28,114256,S28,S28,Observe,108
S28,117344,S28,S28,Observe,108
S28,120432,S28,S28,Observe,108
S28,123520,S28,S28,Observe,108
S28,126608,S28,S28,Observe,108
S28,129696,S28,S28,Observe,108
S28,132784,S28,S28,Observe,108
S28,135872,S28,S28,Observe,108
S28,138960,S28,S28,Observe,109
S28,142048,S28,S28,Observe,109
S28,145136,S28,S28,Observe,109
S28,148224,S28,S28,Observe,109
S28,151312,S28,S28,Observe,109
S28,154400,S28,S28,Observe,109
S28,154400,S28,S28,Observe,109
S29,3088,S29,S29,Observe,91
S29,6176,S29,S29,Observe,111
S29,9264,S29,S29,Observe,127
S29,12352,S29,S29,Observe,134
S29,15440,S29,S29,Observe,140
S29,18528,S29,S29,Observe,145
S29,21616,S29,S29,Observe,146
S29,24704,S29,S29,Observe,153
S29,27792,S29,S29,Observe,155
S29,30880,S29,S29,Observe,157
S29,33968,S29,S29,Observe,160
S29,37056,S29,S29,Observe,161
S29,40144,S29,S29,Observe,162
S29,43232,S29,S29,Observe,163
S29,46320,S29,S29,Observe,165
S29,49408,S29,S29,Observe,166
S29,52496,S29,S29,Observe,167
S29,55584,S29,S29,Observe,168
S29,58672,S29,S29,Observe,168
S29,61760,S29,S29,Observe,169
S29,64848,S29,S29,Observe,169
S29,67936,S29,S29,Observe,169
S29,71024,S29,S29,Observe,170
S29,74112,S29,S29,Observe,170
S29,77200,S29,S29,Observe,171
S29,80288,S29,S29,Observe,172
S29,83376,S29,S29,Observe,173
S29,86464,S29,S29,Observe,173
S29,89552,S29,S29,Observe,173
S29,92640,S29,S29,Observe,173
S29,95728,S29,S29,Observe,173
S29,98816,S29,S29,Observe,173
S29,101904,S29,S29,Observe,173
S29,104992,S29,S29,Observe,173
S29,108080,S29,S29,Observe,173
S29,111168,S29,S29,Observe,173
S29,114256,S29,S29,Observe,173
S29,117344,S29,S29,Observe,173
S29,120432,S29,S29,Observe,173
S29,123520,S29,S29,Observe,174
S29,126608,S29,S29,Observe,174
S29,129696,S29,S29,Observe,174
S29,132784,S29,S29,Observe,174
S29,135872,S29,S29,Observe,174
S29,138960,S29,S29,Observe,175
S29,142048,S29,S29,Observe,175
S29,145136,S29,S29,Observe,175
S29,148224,S29,S29,Observe,175
S29,151312,S29,S29,Observe,176
S29,154400,S29,S29,Observe,176
S29,154400,S29,S29,Observe,176
S37,3088,S37,S37,Observe,69
S37,6176,S37,S37,Observe,81
S37,9264,S37,S37,Observe,96
S37,12352,S37,S37,Observe,99
S37,15440,S37,S37,Observe,101
S37,18528,S37,S37,Observe,103
S37,21616,S37,S37,Observe,104
S37,24704,S37,S37,Observe,107
S37,27792,S37,S37,Observe,110
S37,30880,S37,S37,Observe,111
S37,33968,S37,S37,Observe,112
S37,37056,S37,S37,Observe,113
S37,40144,S37,S37,Observe,114
S37,43232,S37,S37,Observe,115
S37,46320,S37,S37,Observe,116
S37,49408,S37,S37,Observe,117
S37,52496,S37,S37,Observe,118
S37,55584,S37,S37,Observe,119
S37,58672,S37,S37,Observe,119
S37,61760,S37,S37,Observe,120
S37,64848,S37,S37,Observe,120
S37,67936,S37,S37,Observe,120
S37,71024,S37,S37,Observe,120
S37,74112,S37,S37,Observe,121
S37,77200,S37,S37,Observe,122
S37,80288,S37,S37,Observe,123
S37,83376,S37,S37,Observe,123
S37,86464,S37,S37,Observe,123
S37,89552,S37,S37,Observe,123
S37,92640,S37,S37,Observe,123
S37,95728,S37,S37,Observe,123
S37,98816,S37,S37,Observe,123
S37,101904,S37,S37,Observe,123
S37,104992,S37,S37,Observe,123
S37,108080,S37,S37,Observe,124
S37,111168,S37,S37,Observe,124
S37,114256,S37,S37,Observe,124
S37,117344,S37,S37,Observe,124
S37,120432,S37,S37,Observe,124
S37,123520,S37,S37,Observe,124
S37,126608,S37,S37,Observe,124
S37,129696,S37,S37,Observe,124
S37,132784,S37,S37,Observe,124
S37,135872,S37,S37,Observe,124
S37,138960,S37,S37,Observe,124
S37,142048,S37,S37,Observe,124
S37,145136,S37,S37,Observe,124
S37,148224,S37,S37,Observe,124
S37,151312,S37,S37,Observe,124
S37,154400,S37,S37,Observe,124
S37,154400,S37,S37,Observe,124
S38,3088,S38,S38,Observe,110
S38,6176,S38,S38,Observe,128
S38,9264,S38,S38,Observe,141
S38,12352,S38,S38,Observe,145
S38,15440,S38,S38,Observe,148
S38,18528,S38,S38,Observe,150
S38,21616,S38,S38,Observe,152
S38,24704,S38,S38,Observe,155
S38,27792,S38,S38,Observe,157
S38,30880,S38,S38,Observe,159
S38,33968,S38,S38,Observe,162
S38,37056,S38,S38,Observe,163
S38,40144,S38,S38,Observe,164
S38,43232,S38,S38,Observe,165
S38,46320,S38,S38,Observe,166
S38,49408,S38,S38,Observe,166
S38,52496,S38,S38,Observe,167
S38,55584,S38,S38,Observe,169
S38,58672,S38,S38,Observe,169
S38,61760,S38,S38,Observe,169
S38,64848,S38,S38,Observe,169
S38,67936,S38,S38,Observe,170
S38,71024,S38,S38,Observe,171
S38,74112,S38,S38,Observe,172
S38,77200,S38,S38,Observe,173
S38,80288,S38,S38,Observe,174
S38,83376,S38,S38,Observe,175
S38,86464,S38,S38,Observe,175
S38,89552,S38,S38,Observe,175
S38,92640,S38,S38,Observe,175
S38,95728,S38,S38,Observe,175
S38,98816,S38,S38,Observe,175
S38,101904,S38,S38,Observe,175
S38,104992,S38,S38,Observe,175
S38,108080,S38,S38,Observe,175
S38,111168,S38,S38,Observe,175
S38,114256,S38,S38,Observe,175
S38,117344,S38,S38,Observe,175
S38,120432,S38,S38,Observe,175
S38,123520,S38,S38,Observe,175
S38,126608,S38,S38,Observe,175
S38,129696,S38,S38,Observe,175
S38,132784,S38,S38,Observe,175
S38,135872,S38,S38,Observe,175
S38,138960,S38,S38,Observe,175
S38,142048,S38,S38,Observe,175
S38,145136,S38,S38,Observe,175
S38,148224,S38,S38,Observe,175
S38,151312,S38,S38,Observe,175
S38,154400,S38,S38,Observe,175
S38,154400,S38,S38,Observe,175
S39,3088,S39,S39,Observe,69
S39,6176,S39,S39,Observe,75
S39,9264,S39,S39,Observe,77
S39,12352,S39,S39,Observe,77
S39,15440,S39,S39,Observe,78
S39,18528,S39,S39,Observe,79
S39,21616,S39,S39,Observe,80
S39,24704,S39,S39,Observe,80
S39,27792,S39,S39,Observe,81
S39,30880,S39,S39,Observe,81
S39,33968,S39,S39,Observe,81
S39,37056,S39,S39,Observe,82
S39,40144,S39,S39,Observe,82
S39,43232,S39,S39,Observe,82
S39,46320,S39,S39,Observe,82
S39,49408,S39,S39,Observe,83
S39,52496,S39,S39,Observe,83
S39,55584,S39,S39,Observe,83
S39,58672,S39,S39,Observe,83
S39,61760,S39,S39,Observe,83
S39,64848,S39,S39,Observe,83
S39,67936,S39,S39,Observe,83
S39,71024,S39,S39,Observe,83
S39,74112,S39,S39,Observe,83
S39,77200,S39,S39,Observe,83
S39,80288,S39,S39,Observe,83
S39,83376,S39,S39,Observe,83
S39,86464,S39,S39,Observe,83
S39,89552,S39,S39,Observe,83
S39,92640,S39,S39,Observe,83
S39,95728,S39,S39,Observe,83
S39,98816,S39,S39,Observe,83
S39,101904,S39,S39,Observe,83
S39,104992,S39,S39,Observe,84
S39,108080,S39,S39,Observe,84
S39,111168,S39,S39,Observe,84
S39,114256,S39,S39,Observe,84
S39,117344,S39,S39,Observe,84
S39,120432,S39,S39,Observe,84
S39,123520,S39,S39,Observe,84
S39,126608,S39,S39,Observe,84
S39,129696,S39,S39,Observe,84
S39,132784,S39,S39,Observe,84
S39,135872,S39,S39,Observe,84
S39,138960,S39,S39,Observe,84
S39,142048,S39,S39,Observe,84
S39,145136,S39,S39,Observe,84
S39,148224,S39,S39,Observe,84
S39,151312,S39,S39,Observe,84
S39,154400,S39,S39,Observe,84
S39,154400,S39,S39,Observe,84
S40,3088,S40,S40,Observe,105
S40,6176,S40,S40,Observe,120
S40,9264,S40,S40,Observe,136
S40,12352,S40,S40,Observe,145
S40,15440,S40,S40,Observe,148
S40,18528,S40,S40,Observe,152
S40,21616,S40,S40,Observe,154
S40,24704,S40,S40,Observe,157
S40,27792,S40,S40,Observe,162
S40,30880,S40,S40,Observe,164
S40,33968,S40,S40,Observe,166
S40,37056,S40,S40,Observe,168
S40,40144,S40,S40,Observe,169
S40,43232,S40,S40,Observe,172
S40,46320,S40,S40,Observe,174
S40,49408,S40,S40,Observe,175
S40,52496,S40,S40,Observe,176
S40,55584,S40,S40,Observe,178
S40,58672,S40,S40,Observe,178
S40,61760,S40,S40,Observe,178
S40,64848,S40,S40,Observe,178
S40,67936,S40,S40,Observe,179
S40,71024,S40,S40,Observe,179
S40,74112,S40,S40,Observe,180
S40,77200,S40,S40,Observe,181
S40,80288,S40,S40,Observe,182
S40,83376,S40,S40,Observe,182
S40,86464,S40,S40,Observe,182
S40,89552,S40,S40,Observe,182
S40,92640,S40,S40,Observe,182
S40,95728,S40,S40,Observe,182
S40,98816,S40,S40,Observe,182
S40,101904,S40,S40,Observe,182
S40,104992,S40,S40,Observe,183
S40,108080,S40,S40,Observe,183
S40,111168,S40,S40,Observe,183
S40,114256,S40,S40,Observe,183
S40,117344,S40,S40,Observe,183
S40,120432,S40,S40,Observe,184
S40,123520,S40,S40,Observe,184
S40,126608,S40,S40,Observe,184
S40,129696,S40,S40,Observe,184
S40,132784,S40,S40,Observe,184
S40,135872,S40,S40,Observe,184
S40,138960,S40,S40,Observe,185
S40,142048,S40,S40,Observe,185
S40,145136,S40,S40,Observe,185
S40,148224,S40,S40,Observe,185
S40,151312,S40,S40,Observe,186
S40,154400,S40,S40,Observe,186
S40,154400,S40,S40,Observe,186
S41,3088,S41,S41,Observe,70
S41,6176,S41,S41,Observe,79
S41,9264,S41,S41,Observe,86
S41,12352,S41,S41,Observe,88
S41,15440,S41,S41,Observe,90
S41,18528,S41,S41,Observe,93
S41,21616,S41,S41,Observe,93
S41,24704,S41,S41,Observe,95
S41,27792,S41,S41,Observe,96
S41,30880,S41,S41,Observe,96
S41,33968,S41,S41,Observe,97
S41,37056,S41,S41,Observe,98
S41,40144,S41,S41,Observe,99
S41,43232,S41,S41,Observe,99
S41,46320,S41,S41,Observe,100
S41,49408,S41,S41,Observe,101
S41,52496,S41,S41,Observe,102
S41,55584,S41,S41,Observe,103
S41,58672,S41,S41,Observe,103
S41,61760,S41,S41,Observe,103
S41,64848,S41,S41,Observe,103
S41,67936,S41,S41,Observe,103
S41,71024,S41,S41,Observe,103
S41,74112,S41,S41,Observe,104
S41,77200,S41,S41,Observe,105
S41,80288,S41,S41,Observe,106
S41,83376,S41,S41,Observe,106
S41,86464,S41,S41,Observe,106
S41,89552,S41,S41,Observe,106
S41,92640,S41,S41,Observe,106
S41,95728,S41,S41,Observe,106
S41,98816,S41,S41,Observe,106
S41,101904,S41,S41,Observe,106
S41,104992,S41,S41,Observe,106
S41,108080,S41,S41,Observe,106
S41,111168,S41,S41,Observe,106
S41,114256,S41,S41,Observe,106
S41,117344,S41,S41,Observe,106
S41,120432,S41,S41,Observe,106
